playerID,awardID,yearID,lgID,tie,notes
contrwi02,Silver Slugger,2024,NL,,
judgeaa01,Most Valuable Player,2025,AL,,
ohtansh01,Most Valuable Player,2025,NL,,
skubata01,Cy Young Award,2025,AL,,
skenepa01,Cy Young Award,2025,NL,,
kurtzni01,Rookie of the Year,2025,AL,,
baldwdr01,Rookie of the Year,2025,NL,,
yamamyo01,World Series MVP,2025,NL,,
wittbo02,Gold Glove,2025,AL,,
rafaece01,Gold Glove,2025,AL,,
dingldi01,Gold Glove,2025,AL,,
garcima01,Gold Glove,2025,AL,,
semiema01,Gold Glove,2025,AL,,
dubonma01,Gold Glove,2025,AL,,
friedma01,Gold Glove,2025,AL,,
kwanst01,Gold Glove,2025,AL,,
francty01,Gold Glove,2025,AL,,
abreuwi02,Gold Glove,2025,AL,,
tatisfe02,Gold Glove,2025,NL,,
happia01,Gold Glove,2025,NL,,
sanojja01,Gold Glove,2025,NL,,
hayeske01,Gold Glove,2025,NL,,
webblo01,Gold Glove,2025,NL,,
winnma01,Gold Glove,2025,NL,,
olsonma02,Gold Glove,2025,NL,,
hoernni01,Gold Glove,2025,NL,,
bailepa01,Gold Glove,2025,NL,,
crowape01,Gold Glove,2025,NL,,
judgeaa01,Silver Slugger,2025,AL,,
wittbo02,Silver Slugger,2025,AL,,
buxtoby01,Silver Slugger,2025,AL,,
raleica01,Silver Slugger,2025,AL,,
springe01,Silver Slugger,2025,AL,,
chishja01,Silver Slugger,2025,AL,,
ramirjo01,Silver Slugger,2025,AL,,
kurtzni01,Silver Slugger,2025,AL,,
greenri02,Silver Slugger,2025,AL,,
mckinza01,Silver Slugger,2025,AL,,
burleal01,Silver Slugger,2025,NL,,
carroco02,Silver Slugger,2025,NL,,
perdoge01,Silver Slugger,2025,NL,,
goodmhu01,Silver Slugger,2025,NL,,
sotoju01,Silver Slugger,2025,NL,,
marteke01,Silver Slugger,2025,NL,,
tuckeky01,Silver Slugger,2025,NL,,
machama01,Silver Slugger,2025,NL,,
alonspe01,Silver Slugger,2025,NL,,
ohtansh01,Silver Slugger,2025,NL,,
